psraid,sample,form,int_date,lang,state,cregion,density,usr,pial1a,pial1b,pial2a,pial2b,pial2c,pial2d,pial2e,pial3a,pial3b,pial3c,pial3d,pial4a,pial4b,pial4c,pial5,relig,chr,born,attend,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,ideo,raceos,pial5os,religos,zipcode,weight,standwt
100224,1,1,21414,1,12,3,2,S,8, ,8,2,8,4,2,2,8,8,2,1,1,8,98,2, ,2,1,1, , ,2,3,2,2,63,8,2,1,8,4,1,1, ,1, , , ,32967,2.16666666666667,.663901473409249
100226,1,1,21414,1,42,1,2,S,2, ,3,2,3,4,3,2,3,2,2,1,1,2,5,2, ,2,1,1, , ,2,1,1,2,43,6,2,1,6,3,1,3,1,2, , , ,15931,4.23333333333333,1.29716134035345
100231,1,1,21414,1,12,3,4,U,8, ,2,8,2,8,2,2,8,8,1,2,2,1,98,1, ,8,2,2,2, ,1,3,2,2,88,2,2,2,99,9,1,2, ,3, , , ,32209,2.2,.674115342230929
100237,1,2,21414,1,12,3,3,S, ,1,1,1,2,1,3,2,1,1,1,1,1,1,1,5, , ,4,1, , ,2,3,2,1,70,3,2,1,4,2,1,3,1,3, , , ,33463,3.03333333333333,.929462062772948
100239,1,1,21414,1,54,3,3,U,1, ,2,2,3,4,3,2,2,1,1,2,2,2,4,1, ,1,4,1, , ,1,3,2,2,60,4,2,1,2,1,1,2, ,3, , , ,26062,2.13333333333333,.653687604587568
100241,1,2,21414,1,19,2,1,R, ,2,2,1,3,3,2,1,2,1,1,1,1,1,5,1, ,2,2,1, , ,2,3,2,1,84,8,2,1,7,4,1,2, ,3, , , ,50501,1.13333333333333,.347271539937145
100246,1,2,21414,1,48,3,5,U, ,8,3,2,4,4,2,1,8,1,1,1,1,1,98,1, ,1,3,1, , ,1,3,2,2,57,8,2,1,99,9,1,2, ,4, , , ,75209,1.83333333333333,.561762785192441
100249,1,2,21414,1,44,1,4,S, ,8,4,3,3,4,2,2,3,2,2,2,2,2,4,13, ,2,3,1, , ,2,3,2,2,58,8,2,1,5,2,1,3,1,2, , , ,02893,2.1,.643473735765887
100256,1,2,21414,1,1,3,2,S, ,2,3,2,3,3,3,2,2,2,2,2,2,2,98,1, ,1,2,1, , ,2,1,2,2,56,7,2,1,9,4,1,1, ,2, , , ,35903,2.16666666666667,.663901473409249
100260,1,2,21414,1,21,3,4,U, ,2,3,2,4,4,3,2,2,1,1,2,1,2,98,2, ,2,2,1, , ,3,3,2,2,18,3,2,1,2,1,1,2, ,3, , , ,40272,5,1.53208032325211
100261,1,2,21414,1,47,3,2,R, ,8,3,2,3,4,4,2,2,2,2,2,2,2,98,1, ,1,2,1, , ,2,3,2,1,74,3,2,1,3,1,1,1, ,2, , , ,38506,2.5,.766040161626056
100265,1,2,21414,1,27,2,2,S, ,2,2,2,3,3,3,2,2,2,2,2,1,2,7,12, , ,6,1, , ,2,3,2,2,43,4,2,1,7,4,1,3,2,3, , , ,55309,5.76666666666667,1.76699930615077
